Date,Close,Open,High,Low,Volume,Chg%
"Jun 30, 2023",572.85,574,574,570.2,8.72M,0.54%
"Jun 28, 2023",569.8,572.25,574,568.55,18.03M,0.65%
"Jun 27, 2023",566.1,558.25,567.95,555.65,10.69M,1.62%
"Jun 26, 2023",557.05,556,558.5,554.5,8.36M,0.44%
"Jun 23, 2023",554.6,562,562.1,553.8,12.22M,-1.48%
"Jun 22, 2023",562.95,566.35,569,561.05,14.98M,-0.60%
"Jun 21, 2023",566.35,567.4,569.5,565.65,14.95M,-0.19%
"Jun 20, 2023",567.4,568.85,569.45,562.55,14.55M,-0.25%
"Jun 19, 2023",568.85,571.25,572.75,565.9,17.90M,-0.42%
"Jun 16, 2023",571.25,568.75,574.7,567.05,12.66M,0.84%
"Jun 15, 2023",566.5,576,576.7,565.25,17.93M,-1.74%
"Jun 14, 2023",576.55,577,578.55,575.25,8.95M,0.03%
"Jun 13, 2023",576.4,579.45,581.4,574.25,12.61M,-0.39%
"Jun 12, 2023",578.65,580,581.5,577.7,8.79M,-0.01%
"Jun 09, 2023",578.7,588,589.1,576.75,18.87M,-1.67%
"Jun 08, 2023",588.5,589.95,593.95,586.35,15.97M,-0.12%
"Jun 07, 2023",589.2,588,590.6,586,11.11M,0.66%
"Jun 06, 2023",585.35,588,588.9,583,11.20M,-0.32%
"Jun 05, 2023",587.2,588.5,589.8,586,12.92M,0.00%
"Jun 02, 2023",587.2,584.7,588.9,583,11.32M,0.76%
"Jun 01, 2023",582.75,581.8,586.4,581,17.82M,0.50%
"May 31, 2023",579.85,583.8,584.8,577.5,28.80M,-2.18%
"May 30, 2023",592.8,595,595.5,591.5,15.03M,-0.37%
"May 29, 2023",595,590,596.4,588.05,18.43M,1.54%
"May 26, 2023",586,581.25,587.75,580.55,9.79M,0.82%
"May 25, 2023",581.25,582,582.9,577,16.48M,-0.25%
"May 24, 2023",582.7,579.8,585.25,578.25,17.62M,0.19%
"May 23, 2023",581.6,578.9,583.7,576.8,16.12M,0.77%
"May 22, 2023",577.15,577.5,580.3,573.45,21.48M,0.35%
"May 19, 2023",575.15,579,586.25,569.9,42.29M,0.17%
"May 18, 2023",574.2,590.3,593.9,571.4,45.66M,-2.06%
"May 17, 2023",586.3,586,590.5,579.5,23.74M,0.00%
"May 16, 2023",586.3,584,590.4,582,22.18M,0.76%
"May 15, 2023",581.9,578.75,584,574.65,11.41M,0.65%
"May 12, 2023",578.15,574.7,580.75,571.55,11.32M,0.82%
"May 11, 2023",573.45,572.2,580,572,16.02M,0.22%
"May 10, 2023",572.2,575,575,563.25,18.56M,-0.23%
"May 09, 2023",573.5,585,586.45,572.1,18.96M,-1.73%
"May 08, 2023",583.6,577.65,587.6,577.35,12.99M,1.23%
"May 05, 2023",576.5,580.2,588.25,575.05,18.16M,-0.60%
"May 04, 2023",580,570.2,580.8,568.5,12.53M,1.67%
"May 03, 2023",570.5,570.65,575,569,9.70M,-0.83%
"May 02, 2023",575.3,580,580.85,573.15,13.67M,-0.52%
"Apr 28, 2023",578.3,567.8,580.45,565.5,16.18M,2.40%
"Apr 27, 2023",564.75,565,567.4,561.1,17.85M,-0.28%
"Apr 26, 2023",566.35,562,567,556.45,23.14M,0.81%
"Apr 25, 2023",561.8,555,567.9,555,38.14M,1.30%
"Apr 24, 2023",554.6,543.8,555.55,543.5,23.34M,2.11%
"Apr 21, 2023",543.15,545,546.4,539.7,22.60M,-0.30%
"Apr 20, 2023",544.8,541.2,545.45,536.65,25.59M,0.83%
"Apr 19, 2023",540.3,544,547.5,538.25,21.16M,-1.02%
"Apr 18, 2023",545.85,545.35,548.5,540.5,22.28M,0.34%
"Apr 17, 2023",544,528,545,528,32.48M,2.07%
"Apr 13, 2023",532.95,529.3,534.25,527.15,28.60M,0.90%
"Apr 12, 2023",528.2,533.2,534,526,21.29M,-0.73%
"Apr 11, 2023",532.1,530.85,535.7,527.15,26.41M,1.10%
"Apr 10, 2023",526.3,529.25,530.4,524.4,17.34M,-0.26%
"Apr 06, 2023",527.65,524,533.7,521.65,25.13M,0.89%
"Apr 05, 2023",523,527,527.6,519.05,13.57M,-0.71%
"Apr 03, 2023",526.75,524.75,528.5,522.1,14.21M,0.57%
"Mar 31, 2023",523.75,520.65,524.9,519.35,17.36M,1.40%
"Mar 29, 2023",516.5,509,518,506.3,24.20M,1.65%
"Mar 28, 2023",508.1,511.45,511.75,503.85,15.83M,-0.40%
"Mar 27, 2023",510.15,507,514.15,501.55,15.67M,0.95%
"Mar 24, 2023",505.35,514.5,514.95,503.45,14.42M,-1.44%
"Mar 23, 2023",512.75,519.4,521,511.5,22.10M,-1.69%
"Mar 22, 2023",521.55,522.2,527,520.1,11.62M,-0.06%
"Mar 21, 2023",521.85,522,523.45,516.45,29.49M,0.51%
"Mar 20, 2023",519.2,526.6,526.6,515,14.28M,-2.00%
"Mar 17, 2023",529.8,528.65,531.6,520.1,18.79M,1.01%
"Mar 16, 2023",524.5,518.4,529.35,514.3,20.04M,1.34%
"Mar 15, 2023",517.55,529.8,532,515.55,11.28M,-1.49%
"Mar 14, 2023",525.4,527.65,532.8,520,14.75M,-0.87%
"Mar 13, 2023",530,547,553.15,528.45,14.37M,-3.17%
"Mar 10, 2023",547.35,553.1,554.95,545,11.52M,-2.07%
"Mar 09, 2023",558.9,564.75,565.75,558,8.99M,-1.04%
"Mar 08, 2023",564.8,560,565.5,556.45,12.64M,0.55%
"Mar 06, 2023",561.7,564.9,567.9,559,16.16M,0.09%
"Mar 03, 2023",561.2,542,564.3,541.75,27.66M,5.14%
"Mar 02, 2023",533.75,535.95,539.9,532.5,10.38M,-0.55%
"Mar 01, 2023",536.7,523.25,537.4,523.1,13.51M,2.66%
"Feb 28, 2023",522.8,527.25,528.45,521.05,15.77M,-0.93%
"Feb 27, 2023",527.7,521.1,529.8,519,11.05M,1.28%
"Feb 24, 2023",521.05,524.2,527.5,517.6,12.25M,0.01%
"Feb 23, 2023",521,516.95,524,511.35,15.54M,0.90%
"Feb 22, 2023",516.35,520.75,521.9,512.5,14.76M,-1.36%
"Feb 21, 2023",523.45,527.1,528.95,522.4,10.22M,-0.32%
"Feb 20, 2023",525.15,532,533.95,522.15,12.57M,-1.10%
"Feb 17, 2023",531,538.5,539.65,527.75,14.19M,-1.68%
"Feb 16, 2023",540.1,546.85,546.85,538.5,12.77M,-0.40%
"Feb 15, 2023",542.25,540,544.65,536.8,12.80M,0.26%
"Feb 14, 2023",540.85,539.95,544.6,530.75,18.56M,0.62%
"Feb 13, 2023",537.5,554,556.9,533.3,18.49M,-2.81%
"Feb 10, 2023",553.05,546.5,557.25,546.5,13.82M,0.41%
"Feb 09, 2023",550.8,552,552,542.8,15.06M,0.19%
"Feb 08, 2023",549.75,550,554.5,545.5,15.50M,0.48%
"Feb 07, 2023",547.1,548,551.4,541.05,16.20M,0.31%
"Feb 06, 2023",545.4,558.8,558.8,536.55,25.34M,0.22%
"Feb 03, 2023",544.2,536,545.95,519.15,32.32M,3.05%
"Feb 02, 2023",528.1,520.2,532.65,502.5,39.29M,0.14%
"Feb 01, 2023",527.35,561.4,565,499.35,38.22M,-4.72%
"Jan 31, 2023",553.5,545,557,537.85,21.91M,2.84%
"Jan 30, 2023",538.2,536,554.35,525.2,40.80M,-0.32%
"Jan 27, 2023",539.95,568,568.55,532.25,40.16M,-5.06%
"Jan 25, 2023",568.7,595.85,595.85,567.4,25.69M,-4.32%
